1333721	2	26	4215	1
237430	1	45	4839	1
1649797	1	28	3573	1
57616	1	30	4675	1
3358186	1	21	2169	1
1333712	2	41	4217	1
1215965	1	23	1513	1
1649742	1	26	3579	1
477454	1	28	4588	1
1649739	1	27	3579	1
882748	2	31	4145	1
1649729	1	57	3580	1
882752	1	31	4540	1
882757	1	29	4346	1
177847	1		4869	1
3264912	1	22	1935	1
1649703	1	24	3583	1
35683	1	32	5005	1
1333698	2	28	4221	1
1516077	1	25	2952	1
2438334	2	33	2310	1
1333694	1	27	4222	1
1333693	1	31	4222	1
909303	2	27	4417	1
1649648	1	30	3590	1
1649645	2	46	3590	1
3264952	1	25	2069	1
1649629	2	24	3592	1
1649624	1	25	3593	1
477468	2	33	4656	1
1649617	1	39	3593	1
1649603	2	46	3594	1
882821	1	30	4503	1
1649561	2	28	3599	1
286839	1	32	4352	1
1044819	1	23	3245	1
882851	1	30	4264	1
1649513	2	30	3604	1
1649512	1	23	3604	1
2813252	1	31	3649	1
1246307	2	29	4264	1
237449	1	32	4839	1
882856	2	31	4584	1
2813260	1	23	3521	1
882858	1	22	4584	1
1262936	2	38	4231	1
57555	1	23	4803	1
1044823	2	27	3258	1
882876	1	24	4584	1
1649464	1	25	3611	1
1649463	2	27	3611	1
2813273	2	26	3686	1
1649431	1	29	3614	1
882896	1	31	4444	1
3031163	1	25	3641	1
1333633	1	31	4221	1
882912	1	30	4584	1
1110268	2	31	4479	1
882916	1	50	4142	1
3305497	1	47	2875	1
882934	1	32	4440	1
286825	1	30	4740	1
286824	2	38	4819	1
1649360	2	30	3617	1
882940	1	28	4141	1
1649352	1	27	3618	1
882945	2	29	4540	1
2813306	1	23	1706	1
2911474	2	23	1610	1
1333624	1	28	4205	1
882954	1	31	4584	1
1234789	2	29	4164	1
2813316	1	35	3349	1
1649306	2	25	3620	1
1649302	1	37	3620	1
1110266	2	24	4474	1
1598221	2	32	2847	1
1099134	2	28	4384	1
7634	2	29	2377	1
1262914	1	23	4231	1
882972	1	20	4584	1
1262911	1	29	4214	1
57531	2	28	4614	1
3265050	2	28	3342	1
3265052	2	24	2971	1
1322024	2	27	4228	1
1649257	2	23	3620	1
2813343	2	25	1703	1
1262905	2	30	4231	1
883001	1	30	4584	1
1649244	1	27	3621	1
1085727		26	3247	1
2813351	1	28	3284	1
1085733	2	33	4234	1
57521	1	33	4608	1
3265063	1	26	3324	1
1234791	2	30	4164	1
1085738	2	25	4337	1
940816	1	29	3257	1
1649203	2	43	3621	1
